id,age,sex,question,conf,greatly
218,50,Male,coneduc,A great deal,1
218,50,Male,conmedic,A great deal,1
218,50,Male,consci,Only some,0
220,33,Female,coneduc,A great deal,1
220,33,Female,conmedic,Hardly any,0
220,33,Female,consci,Only some,0
221,34,Female,coneduc,Hardly any,0
221,34,Female,conmedic,Only some,0
221,34,Female,consci,Only some,0
222,46,Female,coneduc,Hardly any,0
222,46,Female,conmedic,Only some,0
222,46,Female,consci,A great deal,1
224,28,Male,coneduc,A great deal,1
224,28,Male,conmedic,Only some,0
224,28,Male,consci,Only some,0
226,29,Female,coneduc,Hardly any,0
226,29,Female,conmedic,A great deal,1
226,29,Female,consci,A great deal,1
228,28,Female,coneduc,Only some,0
228,28,Female,conmedic,A great deal,1
228,28,Female,consci,A great deal,1
229,48,Female,coneduc,Hardly any,0
229,48,Female,conmedic,Only some,0
229,48,Female,consci,Only some,0
230,24,Female,coneduc,Hardly any,0
230,24,Female,conmedic,Only some,0
230,24,Female,consci,Hardly any,0
232,42,Female,coneduc,A great deal,1
232,42,Female,conmedic,A great deal,1
232,42,Female,consci,Only some,0
233,44,Male,coneduc,Only some,0
233,44,Male,conmedic,A great deal,1
233,44,Male,consci,A great deal,1
235,29,Male,coneduc,Only some,0
235,29,Male,conmedic,Only some,0
235,29,Male,consci,Only some,0
236,48,Female,coneduc,Hardly any,0
236,48,Female,conmedic,A great deal,1
236,48,Female,consci,A great deal,1
238,88,Female,coneduc,Only some,0
238,88,Female,conmedic,Only some,0
238,88,Female,consci,Only some,0
239,65,Male,coneduc,Only some,0
239,65,Male,conmedic,A great deal,1
239,65,Male,consci,A great deal,1
241,58,Female,coneduc,Only some,0
241,58,Female,conmedic,Only some,0
241,58,Female,consci,Only some,0
242,26,Male,coneduc,Only some,0
242,26,Male,conmedic,Hardly any,0
242,26,Male,consci,Only some,0
243,61,Female,coneduc,A great deal,1
243,61,Female,conmedic,Only some,0
243,61,Female,consci,Only some,0
245,22,Female,coneduc,Only some,0
245,22,Female,conmedic,A great deal,1
245,22,Female,consci,Only some,0
247,29,Male,coneduc,Only some,0
247,29,Male,conmedic,Hardly any,0
247,29,Male,consci,Only some,0
248,70,Male,coneduc,A great deal,1
248,70,Male,conmedic,Only some,0
248,70,Male,consci,Only some,0
249,34,Male,coneduc,Only some,0
249,34,Male,conmedic,Only some,0
249,34,Male,consci,A great deal,1
251,84,Female,coneduc,Only some,0
251,84,Female,conmedic,Only some,0
251,84,Female,consci,Only some,0
252,37,Male,coneduc,Hardly any,0
252,37,Male,conmedic,Only some,0
252,37,Male,consci,A great deal,1
253,61,Female,coneduc,Only some,0
253,61,Female,conmedic,A great deal,1
253,61,Female,consci,Only some,0
254,58,Female,coneduc,A great deal,1
254,58,Female,conmedic,A great deal,1
254,58,Female,consci,Only some,0
257,36,Male,coneduc,Only some,0
257,36,Male,conmedic,A great deal,1
257,36,Male,consci,A great deal,1
260,31,Male,coneduc,A great deal,1
260,31,Male,conmedic,A great deal,1
260,31,Male,consci,Hardly any,0
262,26,Male,coneduc,Only some,0
262,26,Male,conmedic,Only some,0
262,26,Male,consci,A great deal,1
263,45,Male,coneduc,Only some,0
263,45,Male,conmedic,A great deal,1
263,45,Male,consci,A great deal,1
264,54,Female,coneduc,Hardly any,0
264,54,Female,conmedic,Only some,0
264,54,Female,consci,Only some,0
266,19,Male,coneduc,Only some,0
266,19,Male,conmedic,A great deal,1
266,19,Male,consci,A great deal,1
267,58,Male,coneduc,Only some,0
267,58,Male,conmedic,Hardly any,0
267,58,Male,consci,A great deal,1
268,50,Female,coneduc,Only some,0
268,50,Female,conmedic,Only some,0
268,50,Female,consci,Only some,0
269,36,Male,coneduc,Hardly any,0
269,36,Male,conmedic,Only some,0
269,36,Male,consci,Only some,0
271,51,Male,coneduc,A great deal,1
271,51,Male,conmedic,Hardly any,0
271,51,Male,consci,A great deal,1
273,29,Female,coneduc,Only some,0
273,29,Female,conmedic,A great deal,1
273,29,Female,consci,A great deal,1
275,67,Female,coneduc,A great deal,1
275,67,Female,conmedic,A great deal,1
275,67,Female,consci,A great deal,1
276,53,Male,coneduc,Only some,0
276,53,Male,conmedic,Only some,0
276,53,Male,consci,A great deal,1
277,45,Male,coneduc,Only some,0
277,45,Male,conmedic,A great deal,1
277,45,Male,consci,A great deal,1
278,36,Female,coneduc,Only some,0
278,36,Female,conmedic,Only some,0
278,36,Female,consci,A great deal,1
279,60,Male,coneduc,Only some,0
279,60,Male,conmedic,Hardly any,0
279,60,Male,consci,A great deal,1
280,63,Female,coneduc,Only some,0
280,63,Female,conmedic,Only some,0
280,63,Female,consci,Only some,0
282,34,Male,coneduc,Only some,0
282,34,Male,conmedic,Only some,0
282,34,Male,consci,A great deal,1
283,58,Male,coneduc,Hardly any,0
283,58,Male,conmedic,Only some,0
283,58,Male,consci,Only some,0
285,71,Female,coneduc,A great deal,1
285,71,Female,conmedic,A great deal,1
285,71,Female,consci,A great deal,1
286,67,Female,coneduc,Only some,0
286,67,Female,conmedic,Only some,0
286,67,Female,consci,Only some,0
287,65,Female,coneduc,A great deal,1
287,65,Female,conmedic,A great deal,1
287,65,Female,consci,A great deal,1
289,46,Female,coneduc,Only some,0
289,46,Female,conmedic,Hardly any,0
289,46,Female,consci,Only some,0
291,59,Male,coneduc,Hardly any,0
291,59,Male,conmedic,Only some,0
291,59,Male,consci,Hardly any,0
292,63,Female,coneduc,A great deal,1
292,63,Female,conmedic,Only some,0
292,63,Female,consci,A great deal,1
293,38,Female,coneduc,Only some,0
293,38,Female,conmedic,A great deal,1
293,38,Female,consci,A great deal,1
295,18,Female,coneduc,A great deal,1
295,18,Female,conmedic,Only some,0
295,18,Female,consci,A great deal,1
297,18,Female,coneduc,Only some,0
297,18,Female,conmedic,Only some,0
297,18,Female,consci,Only some,0
300,44,Female,coneduc,Only some,0
300,44,Female,conmedic,A great deal,1
300,44,Female,consci,Only some,0
301,46,Female,coneduc,Only some,0
301,46,Female,conmedic,A great deal,1
301,46,Female,consci,A great deal,1
302,56,Female,coneduc,A great deal,1
302,56,Female,conmedic,A great deal,1
302,56,Female,consci,A great deal,1
304,52,Female,coneduc,Only some,0
304,52,Female,conmedic,A great deal,1
304,52,Female,consci,A great deal,1
305,69,Male,coneduc,Only some,0
305,69,Male,conmedic,Only some,0
305,69,Male,consci,Only some,0
307,25,Male,coneduc,Hardly any,0
307,25,Male,conmedic,Only some,0
307,25,Male,consci,Only some,0
308,33,Male,coneduc,Hardly any,0
308,33,Male,conmedic,Hardly any,0
308,33,Male,consci,Hardly any,0
309,45,Female,coneduc,A great deal,1
309,45,Female,conmedic,Only some,0
309,45,Female,consci,A great deal,1
310,57,Male,coneduc,Only some,0
310,57,Male,conmedic,A great deal,1
310,57,Male,consci,A great deal,1
313,58,Male,coneduc,A great deal,1
313,58,Male,conmedic,A great deal,1
313,58,Male,consci,A great deal,1
314,42,Male,coneduc,Only some,0
314,42,Male,conmedic,Only some,0
314,42,Male,consci,A great deal,1
316,25,Female,coneduc,Hardly any,0
316,25,Female,conmedic,Hardly any,0
316,25,Female,consci,Only some,0
318,73,Female,coneduc,Only some,0
318,73,Female,conmedic,Only some,0
318,73,Female,consci,Hardly any,0
319,34,Female,coneduc,Hardly any,0
319,34,Female,conmedic,Only some,0
319,34,Female,consci,A great deal,1
321,78,Female,coneduc,Only some,0
321,78,Female,conmedic,A great deal,1
321,78,Female,consci,A great deal,1
324,58,Female,coneduc,A great deal,1
324,58,Female,conmedic,A great deal,1
324,58,Female,consci,Hardly any,0
325,73,Male,coneduc,Only some,0
325,73,Male,conmedic,Only some,0
325,73,Male,consci,Only some,0
326,83,Female,coneduc,A great deal,1
326,83,Female,conmedic,A great deal,1
326,83,Female,consci,A great deal,1
328,70,Female,coneduc,Only some,0
328,70,Female,conmedic,Hardly any,0
328,70,Female,consci,Hardly any,0
329,31,Female,coneduc,Only some,0
329,31,Female,conmedic,Only some,0
329,31,Female,consci,Only some,0
330,24,Female,coneduc,Only some,0
330,24,Female,conmedic,A great deal,1
330,24,Female,consci,Only some,0
331,42,Male,coneduc,A great deal,1
331,42,Male,conmedic,A great deal,1
331,42,Male,consci,Only some,0
332,34,Female,coneduc,A great deal,1
332,34,Female,conmedic,A great deal,1
332,34,Female,consci,A great deal,1
333,70,Female,coneduc,Only some,0
333,70,Female,conmedic,Hardly any,0
333,70,Female,consci,Only some,0
334,37,Female,coneduc,Only some,0
334,37,Female,conmedic,Only some,0
334,37,Female,consci,Only some,0
337,26,Female,coneduc,Only some,0
337,26,Female,conmedic,A great deal,1
337,26,Female,consci,A great deal,1
338,54,Male,coneduc,A great deal,1
338,54,Male,conmedic,A great deal,1
338,54,Male,consci,A great deal,1
339,40,Female,coneduc,Only some,0
339,40,Female,conmedic,A great deal,1
339,40,Female,consci,Only some,0
340,56,Female,coneduc,Only some,0
340,56,Female,conmedic,A great deal,1
340,56,Female,consci,A great deal,1
341,60,Male,coneduc,Only some,0
341,60,Male,conmedic,A great deal,1
341,60,Male,consci,Only some,0
343,35,Female,coneduc,A great deal,1
343,35,Female,conmedic,A great deal,1
343,35,Female,consci,A great deal,1
344,55,Male,coneduc,Only some,0
344,55,Male,conmedic,A great deal,1
344,55,Male,consci,A great deal,1
346,77,Female,coneduc,A great deal,1
346,77,Female,conmedic,Only some,0
346,77,Female,consci,Only some,0
347,30,Female,coneduc,Only some,0
347,30,Female,conmedic,A great deal,1
347,30,Female,consci,A great deal,1
350,37,Female,coneduc,Hardly any,0
350,37,Female,conmedic,Only some,0
350,37,Female,consci,Only some,0
351,51,Female,coneduc,Only some,0
351,51,Female,conmedic,Only some,0
351,51,Female,consci,Only some,0
353,60,Female,coneduc,Only some,0
353,60,Female,conmedic,Only some,0
353,60,Female,consci,A great deal,1
356,36,Female,coneduc,Only some,0
356,36,Female,conmedic,Only some,0
356,36,Female,consci,A great deal,1
357,34,Female,coneduc,Only some,0
357,34,Female,conmedic,A great deal,1
357,34,Female,consci,Only some,0
358,39,Male,coneduc,Hardly any,0
358,39,Male,conmedic,Only some,0
358,39,Male,consci,A great deal,1
360,70,Male,coneduc,A great deal,1
360,70,Male,conmedic,Only some,0
360,70,Male,consci,A great deal,1
361,60,Male,coneduc,Only some,0
361,60,Male,conmedic,Only some,0
361,60,Male,consci,Only some,0
363,32,Female,coneduc,Only some,0
363,32,Female,conmedic,Only some,0
363,32,Female,consci,Only some,0
365,44,Male,coneduc,Hardly any,0
365,44,Male,conmedic,Only some,0
365,44,Male,consci,Only some,0
366,67,Female,coneduc,A great deal,1
366,67,Female,conmedic,A great deal,1
366,67,Female,consci,A great deal,1
368,27,Female,coneduc,Only some,0
368,27,Female,conmedic,A great deal,1
368,27,Female,consci,A great deal,1
369,30,Female,coneduc,A great deal,1
369,30,Female,conmedic,A great deal,1
369,30,Female,consci,A great deal,1
372,38,Male,coneduc,Only some,0
372,38,Male,conmedic,Only some,0
372,38,Male,consci,A great deal,1
374,67,Female,coneduc,Only some,0
374,67,Female,conmedic,Only some,0
374,67,Female,consci,A great deal,1
376,68,Female,coneduc,Only some,0
376,68,Female,conmedic,Only some,0
376,68,Female,consci,Only some,0
377,18,Female,coneduc,Only some,0
377,18,Female,conmedic,A great deal,1
377,18,Female,consci,A great deal,1
380,61,Female,coneduc,Only some,0
380,61,Female,conmedic,A great deal,1
380,61,Female,consci,A great deal,1
381,72,Male,coneduc,Hardly any,0
381,72,Male,conmedic,A great deal,1
381,72,Male,consci,Only some,0
384,48,Male,coneduc,Only some,0
384,48,Male,conmedic,A great deal,1
384,48,Male,consci,A great deal,1
387,30,Female,coneduc,A great deal,1
387,30,Female,conmedic,A great deal,1
387,30,Female,consci,A great deal,1
389,38,Male,coneduc,A great deal,1
389,38,Male,conmedic,Only some,0
389,38,Male,consci,Only some,0
392,28,Male,coneduc,Only some,0
392,28,Male,conmedic,Only some,0
392,28,Male,consci,A great deal,1
396,77,Female,coneduc,A great deal,1
396,77,Female,conmedic,A great deal,1
396,77,Female,consci,A great deal,1
397,89,Male,coneduc,Only some,0
397,89,Male,conmedic,Only some,0
397,89,Male,consci,A great deal,1
398,69,Male,coneduc,Only some,0
398,69,Male,conmedic,Only some,0
398,69,Male,consci,A great deal,1
401,34,Male,coneduc,Only some,0
401,34,Male,conmedic,Only some,0
401,34,Male,consci,A great deal,1
402,77,Female,coneduc,A great deal,1
402,77,Female,conmedic,Only some,0
402,77,Female,consci,Only some,0
403,20,Female,coneduc,A great deal,1
403,20,Female,conmedic,A great deal,1
403,20,Female,consci,A great deal,1
404,38,Female,coneduc,A great deal,1
404,38,Female,conmedic,A great deal,1
404,38,Female,consci,A great deal,1
406,69,Male,coneduc,Only some,0
406,69,Male,conmedic,Only some,0
